Ranking,Artist Name,Weeks on Artist 100 Chart
1,Taylor Swift,547
2,Bad Bunny,330
3,SZA,281
4,Kendrick Lamar,472
5,Morgan Wallen,306
6,Sabrina Carpenter,59
7,Billie Eilish,326
8,Bruno Mars,529
9,Chappell Roan,40
10,Teddy Swims,71
11,"Tyler, The Creator",187
12,Jelly Roll,131
13,Gracie Abrams,32
14,Shaboozey,40
15,Zach Bryan,140
16,Post Malone,447
17,Heidi Montag,1
18,Luke Combs,411
19,Lil Baby,331
20,The Weeknd,497
21,Hozier,156
22,Ariana Grande,476
23,Lady Gaga,302
24,Chris Stapleton,482
25,ROSE,14
26,Benson Boone,52
27,GloRilla,52
28,Fleetwood Mac,302
29,Future,374
30,Myles Smith,32
31,Drake,549
32,Stray Kids,85
33,Noah Kahan,84
34,Kanye West,304
35,Metallica,477
36,Linkin Park,133
37,Eminem,510
38,Lola Young,5
39,Nirvana,241
40,Bailey Zimmerman,136
41,Cynthia Erivo,8
42,Travis Scott,446
43,Coldplay,198
44,Frank Ocean,71
45,Ed Sheeran,544
46,Lainey Wilson,126
47,BigXthaPlug,36
48,Arctic Monkeys,75
49,Rihanna,333
50,Tate McRae,119
51,Ringo Starr,3
52,Tito Double P,11
53,Michael Jackson,461
54,Charli xcx,69
55,Zach Top,13
56,Don Toliver,27
57,Radiohead,36
58,Dua Lipa,346
59,Chris Brown,470
60,Doechii,10
61,Miley Cyrus,216
62,J. Cole,416
63,GELO,2
64,The Beatles,340
65,Riley Green,21
66,Mac Miller,82
67,Tremonti,4
68,Playboi Carti,39
69,Jimin,33
70,Tucker Wetmore,39
71,Lana Del Rey,229
72,The Marias,5
73,Deftones,34
74,Jordan Davis,151
75,Sexyy Red,42
76,Gigi Perez,9
77,Gunna,197
78,Megan Moroney,29
79,Jack Harlow,183
80,Juice WRLD,258
81,Tommy Richman,37
82,Ella Langley,19
83,Neton Vega,3
84,Rod Wave,138
85,Creedence Clearwater Revival,203
86,Adele,396
87,Brandon Lake,7
88,Olivia Rodrigo,192
89,PARTYNEXTDOOR,15
90,Dylan Scott,20
91,Cody Johnson,133
92,Bob Dylan,20
93,Summer Walker,58
94,Jessie Murph,13
95,Harry Styles,275
96,Blake Shelton,353
97,Journey,125
98,Melanie Martinez,81
99,Alex Warren,4
100,Doja Cat,253
